"","X","Doc.ID","Filer.Name","Member.Name","State","District","Year","Destination","Filing.Type","Departure.Date","Return.Date","Travel.Sponsor","return_month","departure_month","destination_country","destination_city"
"31",31,500006971,"Margaret Tipton","Blackburn, Marsha","TN",7,2012,"Nashville, TN","Original","2012-01-18","2012-01-22","Aspen Institute Education and Society Program",1,1,"USA","Nashville"
"32",32,500006984,"Eleanor Bastian","DeGette, Diana","CO",1,2012,"Denver, CO","Original","2012-01-11","2012-01-13","Alliance to Save Energy",1,1,"USA","Denver"
"33",33,500006985,"Zack Marshall","Cooper, Jim","TN",5,2012,"Nashville, TN","Original","2012-01-18","2012-01-20","The Aspen Institute Education and Society Program",1,1,"USA","Nashville"
"34",34,500006986,"Bob Filner","Filner, Bob","CA",51,2012,"Ho Chi Minh City, Vietnam","Original","2012-01-03","2012-01-12","International Association of Democratic Lawyers and the Vietnam Association of Victims of
 Agent Ora",1,1,"VNM","Ho Chi Minh City"
"35",35,500006987,"Greta H. Joynes","Shimkus, John","IL",15,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"36",36,500006989,"Lars S. Hydle","Towns, Edolphus","NY",10,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"37",37,500006990,"John Mautz","Coble, Howard","NC",6,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"38",38,500006991,"Gary Andres","Upton, Fred","MI",6,2012,"Baltimore, MD","Original","2012-01-19","2012-01-21","Congressional Institute",1,1,"USA","Baltimore"
"39",39,500006992,"Jim McDermott","McDermott, Jim","WA",7,2012,"Tokyo, Japan","Original","2012-01-10","2012-01-13","US/Japan - South Korea Legislative Exchange Program",1,1,"JPN","Tokyo"
"40",40,500006993,"Wyatt Stewart","Cantor, Eric","VA",7,2012,"Las Vegas, NV","Original","2012-01-11","2012-01-14","Consumer Electronics Association",1,1,"USA","Las Vegas"
"41",41,500006994,"Joe Barton","Barton, Joe","TX",6,2012,"Ft. Lauderdale, FL","Original","2012-01-20","2012-01-22","The Commonwealth Fund and Alliance for Human Reform",1,1,"USA","Ft. Lauderdale"
"42",42,500006996,"Edward F. McDonald","Coble, Howard","NC",6,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"43",43,500006997,"Bobby Rush","Rush, Bobby","IL",1,2012,"Accra, Ghana","Original","2012-01-07","2012-01-17","CARE, Inc.",1,1,"GHA","Accra"
"44",44,500006997,"Bobby Rush","Rush, Bobby","IL",1,2012,"Monrovia, Liberia","Original","2012-01-07","2012-01-17","CARE, Inc.",1,1,"LBR","Monrovia"
"45",45,500006999,"F. James Sensenbrenner Jr.","Sensenbrenner, F.","WI",5,2012,"Tokyo, Japan","Original","2012-01-10","2012-01-13","US - Japan - South Korea Legislative Exchange Program under a grant from the US - Japan Friendship",1,1,"JPN","Tokyo"
"46",46,500007001,"Gerald E. Connolly","Connolly, Gerald","VA",11,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"47",47,500007002,"James Walkinshaw","Connolly, Gerald","VA",11,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"48",48,500007003,"John W. Billings","Bass, Charles F.","NH",2,2012,"Las Vegas, NV","Original","2012-01-11","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"49",49,500007005,"Frank Watkins","Jackson, Jesse L.","IL",2,2012,"Baltimore, MD","Original","2012-01-19","2012-01-20","Progressive Congress.org",1,1,"USA","Baltimore"
"50",50,500007006,"Thomas Marino","Marino, Tom","PA",10,2012,"Accra, Ghana","Original","2012-01-07","2012-01-14","CARE, Inc.",1,1,"GHA","Accra"
"51",51,500007006,"Thomas Marino","Marino, Tom","PA",10,2012,"Monrovia, Liberia","Original","2012-01-07","2012-01-14","CARE, Inc.",1,1,"LBR","Monrovia"
"52",52,500007007,"Stephanie Moore","Conyers, John","MI",13,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"53",53,500007008,"Cliff Stearns","Stearns, Cliff","FL",6,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"54",54,500007010,"Fabrice Coles","Richmond, Cedric","LA",2,2012,"New York City, NY","Original","2012-01-18","2012-01-19","The Humpty Dumpty Institute (HDI) and United Nations Foundation (UNF)",1,1,"USA","New York City"
"55",55,500007011,"Cedric Richmond","Richmond, Cedric","LA",2,2012,"New York City, NY","Original","2012-01-18","2012-01-19","The Humpty Dumpty Institute (HDI) and United Nations Foundation (UNF)",1,1,"USA","New York City"
"56",56,500007012,"Billy Long","Long, Billy","MO",7,2012,"Las Vegas, NV","Original","2012-01-08","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"57",57,500007013,"Shawn H. Chang","Waxman, Henry A.","CA",33,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"58",58,500007014,"Jennifer Kane","Carney, Christopher P.","PA",10,2012,"Denver, CO","Original","2012-01-11","2012-01-13","Alliance to Save Energy",1,1,"USA","Denver"
"59",59,500007015,"John Shimkus","Shimkus, John","IL",15,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"60",60,500007016,"Charles F. Bass","Bass, Charles F.","NH",2,2012,"Las Vegas, NV","Original","2012-01-11","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"61",61,500007017,"Michael Ryan Clough","Lofgren, Zoe","CA",19,2012,"Las Vegas, NV","Original","2012-01-09","2012-01-11","Consumer Electronics Association",1,1,"USA","Las Vegas"
"62",62,500007020,"Jesse Jackson, Jr.","Jackson, Jesse L.","IL",2,2012,"Baltimore, MD","Original","2012-01-19","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"63",63,500007021,"Kyle J. Victor","Matsui, Doris","CA",6,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"64",64,500007024,"Laurent Morgan Crenshaw","Issa, Darrell","CA",49,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"65",65,500007025,"Karen Bass","Bass, Karen","CA",37,2012,"New York City, NY","Original","2012-01-18","2012-01-19","Humpty Dumpty Institute",1,1,"USA","New York City"
"66",66,500007026,"Karen Bass","Bass, Karen","CA",37,2012,"Baltimore, MD","Original","2012-01-19","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"67",67,500007028,"Katherine Ott","Doyle, Michael","PA",14,2012,"Denver, CO","Original","2012-01-11","2012-01-13","Alliance to Save Energy",1,1,"USA","Denver"
"68",68,500007029,"Frank Watkins","Jackson, Jesse L.","IL",2,2012,"Greensboro, NC","Original","2012-01-12","2012-01-13","Elon University",1,1,"USA","Greensboro"
"69",69,500007030,"Janet Poppleton","Hall, Ralph M.","TX",4,2012,"Baltimore, MD","Original","2012-01-19","2012-01-21","The Congressional Institute",1,1,"USA","Baltimore"
"70",70,500007031,"Jim McDerrmott","McDermott, Jim","WA",7,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"71",71,500007032,"David Redl","Upton, Fred","MI",6,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"72",72,500007035,"Keith Ellison","Ellison, Keith","MN",5,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"73",73,500007036,"Jamie Long","Ellison, Keith","MN",5,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"74",74,500007037,"Lale M. Mamaux","Hastings, Alcee","FL",20,2012,"Key Largo, FL","Original","2012-01-19","2012-01-21","The Everglades Foundation",1,1,"USA","Key Largo"
"75",75,500007037,"Lale M. Mamaux","Hastings, Alcee","FL",20,2012,"Miami, FL","Original","2012-01-19","2012-01-21","The Everglades Foundation",1,1,"USA","Miami"
"76",76,500007038,"Robert L. Turner","Turner, Robert L.","NY",9,2012,"Tel Aviv, Israel","Original","2012-01-07","2012-01-15","American Israel Education Foundation",1,1,"ISR","Tel Aviv"
"77",77,500007040,"Barbara Lee","Lee, Barbara","CA",13,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"78",78,500007041,"Cesar A. Gonzalez","Diaz-Balart, Mario","FL",25,2012,"Key Largo, FL","Original","2012-01-19","2012-01-22","Everglades foundation",1,1,"USA","Key Largo"
"79",79,500007041,"Cesar A. Gonzalez","Diaz-Balart, Mario","FL",25,2012,"Miami, FL","Original","2012-01-19","2012-01-22","Everglades foundation",1,1,"USA","Miami"
"80",80,500007042,"Jirair Ratevosian","Lee, Barbara","CA",13,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"81",81,500007043,"Ruth L. Katz","Waxman, Henry A.","CA",33,2012,"Hartford, CT","Original","2012-01-19","2012-01-21","Yale University",1,1,"USA","Hartford"
"82",82,500007044,"Jesse L. Jackson Jr.","Jackson, Jesse L.","IL",2,2012,"Greensboro, NC","Original","2012-01-12","2012-01-13","Elon University",1,1,"USA","Greensboro"
"83",83,500007045,"Bill Flores","Flores, Bill","TX",17,2012,"Tel Aviv, Israel","Original","2012-01-07","2012-01-15","American Israel Education Foundation (AIEF)",1,1,"ISR","Tel Aviv"
"84",84,500007046,"Sandra Adams","Adams, Sandy","FL",24,2012,"Jerusalem, Israel","Original","2012-01-07","2012-01-15","American Israel Education Foundation (AIEF)",1,1,"ISR","Jerusalem"
"85",85,500007046,"Sandra Adams","Adams, Sandy","FL",24,2012,"Tel Aviv, Israel","Original","2012-01-07","2012-01-15","American Israel Education Foundation (AIEF)",1,1,"ISR","Tel Aviv"
"86",86,500007047,"Raul M. Grijalva","Grijalva, Raul","AZ",3,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"87",87,500007048,"Joo-Jin Ong","Berman, Howard L.","CA",28,2012,"Waimea, HI","Original","2012-01-02","2012-01-04","The Maureen and Mike Mansfield Foundation and the Smith Richardson Foundation",1,1,"USA","Waimea"
"88",88,500007049,"Tim Schumann","Ellison, Keith","MN",5,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"89",89,500007050,"Jennifer Gore","Ellison, Keith","MN",5,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"90",90,500007051,"Eric Williams","Bass, Karen","CA",37,2012,"New York, NY","Original","2012-01-18","2012-01-19","Humpty Dumpty Institute",1,1,"USA","New York"
"91",91,500007052,"Benjamin Branch","Meeks, Gregory","NY",5,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"92",92,500007053,"Neil Fried","Upton, Fred","MI",6,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"93",93,500007054,"Amy Emerick","Grijalva, Raul","AZ",3,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"94",94,500007055,"Glenn E. Miller","Grijalva, Raul","AZ",3,2012,"Baltimore, MD","Original","2012-01-18","2012-01-21","ProgressiveCongress.org",1,1,"USA","Baltimore"
"95",95,500007056,"Phil Gingrey","Gingrey, Phil","GA",11,2012,"Philadelphia, PA","Original","2012-01-25","2012-01-27","The Heritage Foundation",1,1,"USA","Philadelphia"
"96",96,500007057,"Reid J. Ribble","Ribble, Reid J.","WI",8,2012,"Tel Aviv, Israel","Original","2012-01-07","2012-01-15","American Israel Education Foundation (AIEF)",1,1,"ISR","Tel Aviv"
"97",97,500007058,"Cathy McMorris Rodgers","McMorris Rodgers, Cathy","WA",5,2012,"Tel Aviv, Israel","Original","2012-01-07","2012-01-15","AIEF (American Israel Education Foundation)",1,1,"ISR","Tel Aviv"
"98",98,500007060,"Madeleine Z. Bordallo","Bordallo, Madeleine","GU",0,2012,"Tokyo, Japan","Original","2012-01-10","2012-01-14","US-Japan Legislative Exchange Program under a grant from the Japan-US Friendship Commision to the GW",1,1,"JPN","Tokyo"
"99",99,500007061,"Virgil Miller","Richmond, Cedric","LA",2,2012,"New York City, NY","Original","2012-01-18","2012-01-19","The Humpty Dumpty Institute (HDI) and United Nations Foundation (UNF)",1,1,"USA","New York City"
"100",100,500007062,"Gregory Berry","Richardson, Laura","CA",37,2012,"Las Vegas, NV","Original","2012-01-11","2012-01-14","Consumer Electronics Association",1,1,"USA","Las Vegas"
"101",101,500007064,"Jennifer Kane","Carney, John C.","DE",0,2012,"Denver, CO","Original","2012-01-11","2012-01-13","Alliance to Save Energy",1,1,"USA","Denver"
"102",102,500007065,"Jennifer Wood","Bass, Karen","CA",37,2012,"Baltimore, MD","Original","2012-01-19","2012-01-20","Progressive Congress",1,1,"USA","Baltimore"
"103",103,500007066,"Joseph Heck","Heck, Joseph J.","NV",3,2012,"Tel Aviv, Israel","Original","2012-01-07","2012-01-15","American Israeli Education Foundation",1,1,"ISR","Tel Aviv"
"104",104,500007068,"Brad Miller","Miller, Brad","NC",13,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"105",105,500007069,"Hannah Izon","Sires, Albio","NJ",8,2012,"New York, NY","Original","2012-01-18","2012-01-19","The Humpty Dumpty Institute (HDI) and United Nations Foundation (UNF)",1,1,"USA","New York"
"106",106,500007070,"Kaylan Koszela","Sires, Albio","NJ",8,2012,"New York, NY","Original","2012-01-18","2012-01-19","The Humpty Dumpty Institute (HDI) and the United Nations Foundation (UNF)",1,1,"USA","New York"
"107",107,500007071,"Joshua Rogin","Deutch, Theodore","FL",22,2012,"Key Largo, FL","Original","2012-01-19","2012-01-21","Everglades Foundation",1,1,"USA","Key Largo"
"108",108,500007071,"Joshua Rogin","Deutch, Theodore","FL",22,2012,"Miami, FL","Original","2012-01-19","2012-01-21","Everglades Foundation",1,1,"USA","Miami"
"109",109,500007072,"Betty McCollum","McCollum, Betty","MN",4,2012,"New York, NY","Original","2012-01-18","2012-01-19","The Humpty dumpty Institute (HDI) and United Nations Foundation (UNF)",1,1,"USA","New York"
"110",110,500007073,"Maria Reppas","McCollum, Betty","MN",4,2012,"New York, NY","Original","2012-01-18","2012-01-19","The Humpty Dumpty Institute (HDI) and United Nations Foundation (UNF)",1,1,"USA","New York"
"111",111,500007074,"Justin Grabelle","Nugent, Richard B.","FL",11,2012,"Key Largo, FL","Original","2012-01-19","2012-01-21","Everglades Foundation",1,1,"USA","Key Largo"
"112",112,500007074,"Justin Grabelle","Nugent, Richard B.","FL",11,2012,"Miami, FL","Original","2012-01-19","2012-01-21","Everglades Foundation",1,1,"USA","Miami"
"113",113,500007075,"Marcia L. Fudge","Fudge, Marcia","OH",11,2012,"Baltimore, MD","Original","2012-01-19","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"114",114,500007076,"Veleter Mazyck","Fudge, Marcia","OH",11,2012,"Baltimore, MD","Original","2012-01-19","2012-01-20","ProgressiveCongress.Org",1,1,"USA","Baltimore"
"115",115,500007077,"Joe Walsh","Walsh, Joe","IL",8,2012,"Philadelphia, PA","Original","2012-01-25","2012-01-27","Heritage Foundation",1,1,"USA","Philadelphia"
"116",116,500007078,"David P. Roe","Roe, David","TN",1,2012,"Philadelphia, PA","Original","2012-01-25","2012-01-27","Heritage Foundation",1,1,"USA","Philadelphia"
"117",117,500007079,"Henry C. ""Hank"" Johnson","Johnson, Henry","GA",4,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.Org",1,1,"USA","Baltimore"
"118",118,500007080,"Cortney Thomas Bush","Bono Mack, Mary","CA",45,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"119",119,500007081,"Scott Goldstein","Johnson, Henry","GA",4,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.Org",1,1,"USA","Baltimore"
"120",120,500007082,"Austin Durrer","Moran, James P.","VA",8,2012,"Miami, FL","Original","2012-01-19","2012-01-22","Everglades Foundation",1,1,"USA","Miami"
"121",121,500007083,"Andrew C. Adair","McDermott, Jim","WA",7,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.Org",1,1,"USA","Baltimore"
"122",122,500007084,"Dean Thompson","Roskam, Peter","IL",6,2012,"Baltimore, MD","Original","2012-01-19","2012-01-21","The Congressional Institute",1,1,"USA","Baltimore"
"123",123,500007085,"Lawrence J. Brady","Issa, Darrell","CA",49,2012,"Baltimore, MD","Original","2012-01-19","2012-01-21","The Congressional Institute",1,1,"USA","Baltimore"
"124",124,500007086,"Laura Richardson","Richardson, Laura","CA",37,2012,"Baltimore, MD","Original","2012-01-18","2012-01-19","ProgressiveCongress.Org",1,1,"USA","Baltimore"
"126",126,500007088,"David Skillman","Blumenauer, Earl","OR",3,2012,"Fort Lauderdale, FL","Original","2012-01-20","2012-01-22","Alliance for Health Reform",1,1,"USA","Fort Lauderdale"
"127",127,500007090,"Sean McLaughlin","Smith, Lamar","TX",21,2012,"Baltimore, MD","Original","2012-01-19","2012-01-21","The Congressional Institute",1,1,"USA","Baltimore"
"128",128,500007091,"John Walker","Carter, John","TX",31,2012,"Baltimore, MD","Original","2012-01-19","2012-01-20","Congressional Institute",1,1,"USA","Baltimore"
"129",129,500007092,"Frank W. Cullen, Jr.","Bono Mack, Mary","CA",45,2012,"Las Vegas, NV","Original","2012-01-10","2012-01-12","Consumer Electronics Association",1,1,"USA","Las Vegas"
"130",130,500007093,"Maxine Waters","Waters, Maxine","CA",43,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"131",131,500007095,"Earl Blumenauer","Blumenauer, Earl","OR",3,2012,"Ft. Lauderdale, FL","Original","2012-01-20","2012-01-22","Alliance for Health Reform Funded through a grant from the Commonwealth Fund",1,1,"USA","Ft. Lauderdale"
"132",132,500007096,"Travis Robey","Kind, Ron","WI",3,2012,"Ft. Lauderdale, FL","Original","2012-01-20","2012-01-22","Alliance for Health reform - funded through a grant from the Commonwealth Fund",1,1,"USA","Ft. Lauderdale"
"133",133,500007097,"Joshua M. Saltzman","Sessions, Pete","TX",32,2012,"Baltimore, MD","Original","2012-01-19","2012-01-21","The Congressional Institute",1,1,"USA","Baltimore"
"134",134,500007099,"Michael Ference","Cantor, Eric","VA",7,2012,"Las Vegas, NV","Original","2012-01-11","2012-01-13","Consumer Electronics Association",1,1,"USA","Las Vegas"
"135",135,500007100,"Ron Kind","Kind, Ron","WI",3,2012,"Ft. Lauderdale, FL","Original","2012-01-19","2012-01-22","Alliance for Health Reform - funded through a grant from the Commonwealth Fund",1,1,"USA","Ft. Lauderdale"
"136",136,500007101,"Thomas Jonathan Ossoff","Johnson, Henry","GA",4,2012,"Accra, Ghana","Original","2012-01-07","2012-01-18","CARE, Inc",1,1,"GHA","Accra"
"137",137,500007101,"Thomas Jonathan Ossoff","Johnson, Henry","GA",4,2012,"Monorovia, Liberia","Original","2012-01-07","2012-01-18","CARE, Inc",1,1,"LBR","Monorovia"
"138",138,500007102,"Joe Courtney","Courtney, Joe","CT",2,2012,"Boston, MA","Original","2012-01-27","2012-01-28","CT Dental Association",1,1,"USA","Boston"
"139",139,500007103,"Arthur Estopinan","Ros-Lehtinen, Ileana","FL",27,2012,"Key Largo, FL","Original","2012-01-19","2012-01-22","Everglades Foundation",1,1,"USA","Key Largo"
"140",140,500007103,"Arthur Estopinan","Ros-Lehtinen, Ileana","FL",27,2012,"Miami, FL","Original","2012-01-19","2012-01-22","Everglades Foundation",1,1,"USA","Miami"
"141",141,500007114,"Lori Salley","Graves, Sam","MO",6,2012,"Baltimore, MD","Original","2012-01-19","2012-01-21","Congressional Institute",1,1,"USA","Baltimore"
"142",142,500007115,"Donna F. Edwards","Edwards, Donna F.","MD",4,2012,"Baltimore, MD","Original","2012-01-19","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"143",143,500007116,"Gene Green","Green, Gene","TX",29,2012,"Fort Lauderdale, FL","Original","2012-01-20","2012-01-22","Alliance for Health Reform",1,1,"USA","Fort Lauderdale"
"144",144,500007117,"Laura Stevens Kent","Dent, Charles","PA",15,2012,"Baltimore, MD","Original","2012-01-19","2012-01-22","The Congressional Institute",1,1,"USA","Baltimore"
"145",145,500007118,"Diana DeGette","DeGette, Diana","CO",1,2012,"Fort Lauderdale, FL","Original","2012-01-20","2012-01-22","Alliance for Health Reform - funded through a grant from the Commonwealth Fund.",1,1,"USA","Fort Lauderdale"
"146",146,500007119,"Jeremy Slevin","Ellison, Keith","MN",5,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"147",147,500007120,"Steven Moore","Roskam, Peter","IL",6,2012,"Baltimore, MD","Original","2012-01-19","2012-01-21","The Congressional Institute",1,1,"USA","Baltimore"
"148",148,500007121,"Mikael Moore","Waters, Maxine","CA",43,2012,"Baltimore, MD","Original","2012-01-18","2012-01-20","ProgressiveCongress.org",1,1,"USA","Baltimore"
"149",149,500007122,"Henry C. ""Hank"" Johnson","Johnson, Henry","GA",4,2012,"Accra, Ghana","Original","2012-01-07","2012-01-13","CARE, Inc.",1,1,"GHA","Accra"
